movie_ID,title,rating,genres,poster_path
153,Nobody,7.968,Action|Thriller,Nobody.jpg
154,The Nun,5.89,Horror,The Nun.jpg
155,May the 12th Be with You,5.289,Animation|Comedy,May the 12th Be with You.jpg
156,Creed II,7.03,Drama|Action,Creed II.jpg
157,Grease,7.394,Romance|Comedy,Grease.jpg
158,Total Recall,7.3,Action|Adventure|Sci-Fi,Total Recall.jpg
159,Good Will Hunting,8.154,Drama,Good Will Hunting.jpg
160,Melancholia,7.196,Drama|Sci-Fi,Melancholia.jpg
161,Melancholia,7.196,Drama|Sci-Fi,Melancholia.jpg
162,It,7.24,Horror,It.jpg
163,May the 12th Be with You,5.289,Animation|Comedy,May the 12th Be with You.jpg
164,The Creator,7.102,Action|Adventure|Sci-Fi,The Creator.jpg
165,Downsizing,5.351,Drama|Sci-Fi,Downsizing.jpg
166,Venom: Let There Be Carnage,6.799,Sci-Fi|Action|Adventure,Venom_ Let There Be Carnage.jpg
167,The Three Musketeers: Milady,6.468,Adventure|Action|Drama,The Three Musketeers_ Milady.jpg
168,Spider-Man: No Way Home,7.966,Action|Adventure|Sci-Fi,Spider-Man_ No Way Home.jpg
169,The Mummy,5.509,Fantasy|Thriller|Action|Adventure|Horror,The Mummy.jpg
170,War for the Planet of the Apes,7.195,Drama|Sci-Fi|War,War for the Planet of the Apes.jpg
171,Halloween,7.555,Horror|Thriller,Halloween.jpg
172,Suburbicon,5.885,Thriller|Crime|Drama|Mystery,Suburbicon.jpg
173,The Abyss,7.348,Adventure|Action|Thriller|Sci-Fi,The Abyss.jpg
174,Spitfire Over Berlin,5.064,War|Action|History,Spitfire Over Berlin.jpg
175,Brightburn,6.129,Horror|Sci-Fi|Thriller|Mystery,Brightburn.jpg
176,Black Widow,7.255,Action|Adventure|Sci-Fi,Black Widow.jpg
177,Avatar: The Way of Water,7.624,Sci-Fi|Adventure|Action,Avatar_ The Way of Water.jpg
178,The Childe,7.149,Action|Thriller|Drama,The Childe.jpg
179,Avengers: Endgame,8.253,Adventure|Sci-Fi|Action,Avengers_ Endgame.jpg
180,Weeding Night,7.7,Comedy|Romance,Weeding Night.jpg
181,Toy Story,7.971,Animation|Adventure|Children|Comedy,Toy Story.jpg
182,Detroit,7.303,Crime|Drama|Thriller|History,Detroit.jpg
183,Iron Man 3,6.9,Action|Adventure|Sci-Fi,Iron Man 3.jpg
184,Scream 2,6.493,Horror|Mystery,Scream 2.jpg
185,Holmes & Watson,4.269,Mystery|Adventure|Comedy|Crime,Holmes & Watson.jpg
186,Bright,6.154,Fantasy|Action|Thriller,Bright.jpg
